Category,Material,Calliper,Price
Acrílico a medida,Cristal (Recuperado),2mm,9.8
Acrílico a medida,Cristal (Recuperado),3mm,12.2
Acrílico a medida,Cristal (Recuperado),4mm,16.9
Acrílico a medida,Cristal (Recuperado),5mm,19.6
Acrílico a medida,Cristal (Recuperado),8mm,31.2
Acrílico a medida,Cristal (Recuperado),10mm,33.8
Acrílico a medida,Opal (Recuperado),2mm,10.1
Acrílico a medida,Opal (Recuperado),3mm,12.5
Acrílico a medida,Opal (Recuperado),4mm,17.2
Acrílico a medida,Opal (Recuperado),5mm,20.2
Acrílico a medida,Opal (Recuperado),8mm,31.8
Acrílico a medida,Opal (Recuperado),10mm,34.4
Acrílico a medida,Color (Recuperado),2mm,11.6
Acrílico a medida,Color (Recuperado),3mm,13.4
Acrílico a medida,Color (Recuperado),4mm,18.1
Acrílico a medida,Color (Recuperado),5mm,21.1
Acrílico a medida,Color (Recuperado),8mm,32.9
Acrílico a medida,Color (Recuperado),10mm,36.2
Acrílico a medida,Cristal (Original),2mm,14.3
Acrílico a medida,Cristal (Original),3mm,18.9
Acrílico a medida,Cristal (Original),4mm,25.7
Acrílico a medida,Cristal (Original),5mm,32.7
Acrílico a medida,Cristal (Original),6mm,35.5
Acrílico a medida,Cristal (Original),8mm,52.1
Acrílico a medida,Cristal (Original),10mm,63
Acrílico a medida,Cristal (Original),15mm,104.4
Acrílico a medida,Opal (Original),2mm,16.8
Acrílico a medida,Opal (Original),3mm,20.1
Acrílico a medida,Opal (Original),5mm,32.8
Acrílico a medida,Opal (Original),10mm,61.6
Acrílico a medida,Color (Original),2mm,13.5
Acrílico a medida,Color (Original),3mm,20.1
Acrílico a medida,Color (Original),5mm,33.2
Acrílico a medida,Color (Original),10mm,60.8
Acrílico a medida,Color Traslúcido (Original),3mm,22.2
Acrílico a medida,Espejo (Original),3mm,28.4
Acrílico a medida,Espejo Traslúcido (Original),3mm,28.6
Acrílico a medida,Metalizado (Original),3mm,30.8
Acrílico a medida,Textura Madera (Original),3mm,30.2
Acrílico a medida,Blanco Sellado (Original),3mm,21.9
Acrílico a medida,Blanco Sellado (Original),5mm,31.9
Acrílico a medida,Cristal Mate (Original),3mm,21.9
Acrílico a medida,Negro Mate (Original),3mm,21.9
Ac (240x120),Cristal (Recuperado),2mm,208000
Ac (240x120),Cristal (Recuperado),3mm,249600
Ac (240x120),Cristal (Recuperado),4mm,338000
Ac (240x120),Cristal (Recuperado),5mm,387400
Ac (240x120),Cristal (Recuperado),8mm,572000
Ac (240x120),Cristal (Recuperado),10mm,676000
Ac (240x120),Opal (Recuperado),2mm,221000
Ac (240x120),Opal (Recuperado),3mm,260000
Ac (240x120),Opal (Recuperado),4mm,351000
Ac (240x120),Opal (Recuperado),5mm,396500
Ac (240x120),Opal (Recuperado),8mm,585000
Ac (240x120),Opal (Recuperado),10mm,682500
Ac (240x120),Color (Recuperado),2mm,240500
Ac (240x120),Color (Recuperado),3mm,286000
Ac (240x120),Color (Recuperado),4mm,364000
Ac (240x120),Color (Recuperado),5mm,410800
Ac (240x120),Color (Recuperado),8mm,598000
Ac (240x120),Color (Recuperado),10mm,734500
Ac (240x120),Cristal (Original),2mm,280000
Ac (240x120),Cristal (Original),3mm,379848
Ac (240x120),Cristal (Original),4mm,554746
Ac (240x120),Cristal (Original),5mm,648200
Ac (240x120),Cristal (Original),10mm,1349179
Ac (240x120),Opal (Original),2mm,360284
Ac (240x120),Opal (Original),3mm,399000
Ac (240x120),Opal (Original),4mm,595448
Ac (240x120),Opal (Original),5mm,638412
Ac (240x120),Color (Original),3mm,399000
Ac (240x120),Color (Original),5mm,638412
Ac (240x120),Espejo (Original),3mm,552613
Ac (240x120),Cristal Mate (Original),3mm,419832
Ac (240x120),Negro Mate (Original),3mm,419832
Ac (180x120),Cristal (Recuperado),2mm,147714
Ac (180x120),Cristal (Recuperado),3mm,182949
Ac (180x120),Cristal (Recuperado),4mm,253418
Ac (180x120),Cristal (Recuperado),5mm,298138
Ac (180x120),Cristal (Recuperado),8mm,472956
Ac (180x120),Cristal (Recuperado),10mm,514966
Ac (180x120),Opal (Recuperado),2mm,153135
Ac (180x120),Opal (Recuperado),3mm,189725
Ac (180x120),Opal (Recuperado),4mm,261549
Ac (180x120),Opal (Recuperado),5mm,304914
Ac (180x120),Opal (Recuperado),8mm,481087
Ac (180x120),Opal (Recuperado),10mm,521742
Ac (180x120),Color (Recuperado),2mm,173463
Ac (180x120),Color (Recuperado),3mm,203276
Ac (180x120),Color (Recuperado),4mm,273745
Ac (180x120),Color (Recuperado),5mm,319821
Ac (180x120),Color (Recuperado),8mm,498704
Ac (180x120),Color (Recuperado),10mm,548845
Ac (180x120),Cristal (Original),2mm,233566
Ac (180x120),Cristal (Original),3mm,305545
Ac (180x120),Cristal (Original),4mm,401028
Ac (180x120),Cristal (Original),5mm,512709
Ac (180x120),Cristal (Original),6mm,580185
Ac (180x120),Cristal (Original),8mm,822642
Ac (180x120),Cristal (Original),10mm,1028276
Ac (180x120),Cristal (Original),15mm,1542322
